#{"t_start": 1777198689.1238875, "env_id": "HalfCheetah-v4"}
r,l,t
3505.8156,1000,766.765777
4084.995359,1000,768.011004
3503.810779,1000,769.226036
3973.752691,1000,770.382635
3620.225631,1000,771.530059
2228.944851,1000,772.689718
1422.126298,1000,773.799667
3890.005739,1000,775.10417
2711.171312,1000,776.284557
4221.486688,1000,777.613961
1574.03497,1000,778.765796
4032.432353,1000,780.088944
1343.922963,1000,781.247373
3758.283332,1000,782.347546
3988.107929,1000,783.493814
4079.597048,1000,784.724302
3068.296392,1000,785.958634
1155.210717,1000,787.194603
3135.621812,1000,788.379135
4018.176519,1000,789.52415
4022.930426,1000,790.774497
2978.422751,1000,791.962412
2901.972482,1000,793.222957
2886.853339,1000,794.389972
3704.576768,1000,795.541839
4028.428092,1000,796.736371
3087.785307,1000,797.915921
3980.14752,1000,799.096543
2779.344282,1000,800.494025
4074.606164,1000,801.698256
3833.125398,1000,802.835729
4111.590718,1000,804.019757
3727.163859,1000,805.106783
4116.535952,1000,806.275517
3797.976547,1000,807.456722
1028.500485,1000,808.678685
3978.637956,1000,809.929658
2160.192873,1000,811.022398
667.038449,1000,812.353312
1137.494144,1000,813.679386
4129.116231,1000,814.846577
3864.900314,1000,816.024773
2105.708498,1000,817.181846
4094.812558,1000,818.394888
4182.891481,1000,819.570043
2646.685009,1000,820.77038
1332.984482,1000,821.994585
3262.243953,1000,823.153668
1188.979289,1000,824.332893
3908.326108,1000,825.510427
3763.99084,1000,826.79573
4062.465197,1000,827.837166
4114.667167,1000,829.198023
2902.432724,1000,830.459979
4068.758004,1000,831.762678
2121.095226,1000,832.852881
3174.707755,1000,834.035182
2346.256309,1000,835.182251
4014.184562,1000,836.321277
1042.272296,1000,837.541173
4066.250995,1000,838.708101
3179.83328,1000,839.83
4314.607725,1000,840.963308
4318.487095,1000,842.092143
1782.546106,1000,843.404321
1702.548371,1000,844.585928
4449.643709,1000,845.745513
3790.34515,1000,847.198159
4230.736077,1000,848.448815
3998.412752,1000,849.559684
4287.758407,1000,850.727591
4107.328984,1000,851.766636
4006.53113,1000,853.1381
4348.906605,1000,854.230961
4320.707962,1000,855.26222
3293.976646,1000,856.492501
4290.215212,1000,857.821791
3534.088284,1000,859.104351
1700.645308,1000,860.295691
3045.538627,1000,861.507817
3164.062567,1000,862.722363
4094.786115,1000,863.939372
2659.1977,1000,865.082148
2486.250697,1000,866.364935
2280.76658,1000,867.529273
4075.228668,1000,868.682775
4157.246983,1000,869.829414
3872.471258,1000,870.974122
4210.537326,1000,872.14526
3759.091204,1000,873.272515
4177.959754,1000,874.443014
2505.493434,1000,875.612709
4382.521286,1000,876.810816
2742.771245,1000,877.992478
681.325162,1000,879.415797
4228.249372,1000,880.602854
4028.78323,1000,881.704509
563.198293,1000,882.87354
759.046669,1000,884.134613
4252.192791,1000,885.228923
3285.258994,1000,886.408333
4017.3533,1000,887.544401
4149.913829,1000,888.843633
4461.760785,1000,890.05636
1944.301742,1000,891.180454
4073.643932,1000,892.446442
4459.422148,1000,893.693149
3966.614261,1000,894.922202
4230.48928,1000,896.065761
4391.880234,1000,897.277138
4108.259654,1000,898.42575
4247.309897,1000,899.559666
4272.235272,1000,900.690022
4402.089327,1000,901.86623
4300.400342,1000,903.032228
2106.074132,1000,904.184055
4148.824476,1000,905.365608
4295.2937,1000,906.573694
4214.257628,1000,907.74248
3899.31403,1000,908.848156
4372.069098,1000,909.998896
3701.091553,1000,911.10322
4218.014198,1000,912.225794
4372.634322,1000,913.498286
4269.625009,1000,914.635547
4213.481838,1000,915.956956
4333.99915,1000,917.057121
4293.121178,1000,918.286888
4482.661934,1000,919.375648
4380.379865,1000,920.580578
4362.112737,1000,921.739828
884.194053,1000,922.897276
1685.606082,1000,924.032309
4438.995347,1000,925.15292
4182.404353,1000,926.322444
4403.493813,1000,927.469248
4499.59125,1000,928.694788
3539.044224,1000,929.990032
4228.017343,1000,931.244061
4353.988459,1000,932.557
846.387873,1000,933.714266
4090.529781,1000,934.899864
4113.163036,1000,936.0502
4277.14734,1000,937.208036
4427.847195,1000,938.615716
3388.424467,1000,939.829858
3679.482441,1000,940.948977
2077.729203,1000,942.053035
4040.954451,1000,943.232883
4161.231491,1000,944.513775
1187.959954,1000,945.744728
4147.528534,1000,946.834856
4407.936628,1000,948.077039
2030.250305,1000,949.342881
582.177679,1000,950.472604
4358.752808,1000,951.642642
2270.736761,1000,952.928051
4496.172705,1000,954.200142
4238.574383,1000,955.553881
3118.316782,1000,956.891708
2679.032254,1000,958.036455
4216.406574,1000,959.157387
4108.740909,1000,960.309916
4198.700469,1000,961.562702
3967.508872,1000,962.809585
2609.520649,1000,964.025105
4406.877485,1000,965.375163
1246.545497,1000,966.661171
3995.730672,1000,967.840553
4371.697074,1000,969.091878
4283.094289,1000,970.231335
4301.294679,1000,971.490951
4266.873183,1000,972.724482
3277.117131,1000,973.913125
1560.077075,1000,975.348959
4055.964045,1000,976.608269
4290.563217,1000,977.848268
4356.544508,1000,978.945222
4218.050209,1000,980.103522
1103.217954,1000,981.239594
3134.92375,1000,982.316904
4626.342343,1000,983.475544
4024.465169,1000,984.599941
4614.73898,1000,985.827512
